MeterNo,MeterType,LONG,LAT,Status,Borough
1389707,Strada,-73.9585788766,40.8103771541,Active,Manhattan
1389706,Strada,-73.9581927523,40.8109094097,Active,Manhattan
1389705,Strada,-73.9576268151,40.8116783496,Active,Manhattan
1389704,Strada,-73.9572020602,40.8122677719,Active,Manhattan
1348082,Strada,-73.9512753706,40.7913360217,Active,Manhattan
1348077,Strada,-73.9527522582,40.7890042102,Active,Manhattan
1289729,Strada,-73.9403839012,40.7980092161,Active,Manhattan
1289728,Strada,-73.9409796957,40.7982597968,Active,Manhattan
1289732,Strada,-73.9412922951,40.7989637302,Active,Manhattan
1289733,Strada,-73.9414349002,40.7989848816,Active,Manhattan
1289731,Strada,-73.9421914071,40.7989615461,Active,Manhattan
1289730,Strada,-73.9407869856,40.7983684009,Active,Manhattan
1038149,Strada,-73.9636826056,40.7982829856,Active,Manhattan
1038146,Strada,-73.9632683063,40.7988571425,Active,Manhattan
1038145,Strada,-73.9627432791,40.7995739615,Active,Manhattan
1038142,Strada,-73.9618169298,40.8008509742,Active,Manhattan
1038141,Strada,-73.9614161536,40.8013948844,Active,Manhattan
1038148,Strada,-73.9634849175,40.7982214542,Active,Manhattan
1038147,Strada,-73.9630624214,40.7987979643,Active,Manhattan
1038144,Strada,-73.9624916258,40.7995950416,Active,Manhattan
1038143,Strada,-73.9620831735,40.8001510041,Active,Manhattan
1038140,Strada,-73.961179781,40.8013832931,Active,Manhattan
1208076,Strada,-73.9371203898,40.8021126751,Active,Manhattan
1208075,Strada,-73.9376144112,40.801435697,Active,Manhattan
1208073,Strada,-73.937999157,40.8009032566,Active,Manhattan
1208072,Strada,-73.9385097273,40.800207807,Active,Manhattan
1208074,Strada,-73.9373511962,40.8014062781,Active,Manhattan
1208071,Strada,-73.9383031583,40.8000954197,Active,Manhattan
1208070,Strada,-73.9386523646,40.7996161027,Active,Manhattan
1208010,Strada,-73.9586427871,40.7726299405,Active,Manhattan
1208009,Strada,-73.9590829879,40.7720304743,Active,Manhattan
1208006,Strada,-73.9595305634,40.7714177787,Active,Manhattan
1208005,Strada,-73.9599671596,40.7708235783,Active,Manhattan
1208002,Strada,-73.960448096,40.7701588785,Active,Manhattan
1208011,Strada,-73.9583415056,40.772650277,Active,Manhattan
1208008,Strada,-73.9587249697,40.7721230048,Active,Manhattan
1208007,Strada,-73.9592807474,40.771361113,Active,Manhattan
1208004,Strada,-73.9597452905,40.7707260981,Active,Manhattan
1208003,Strada,-73.9600875576,40.7702550711,Active,Manhattan
1294853,Strada,-73.9488026509,40.7737957266,Active,Manhattan
1294852,Strada,-73.9484789055,40.7742377707,Active,Manhattan
1294851,Strada,-73.9479203906,40.7750014846,Active,Manhattan
1294850,Strada,-73.9475853814,40.7754645387,Active,Manhattan
1294849,Strada,-73.9469872653,40.7767094496,Active,Manhattan
1294848,Strada,-73.9465221654,40.7769182161,Active,Manhattan
